bukrs,belnr,gjahr,buzei,Review_Focus,Priority_Tier,Model_Anomaly_Count,IF_Label,LOF_Label,AE_Label,IF_Score,LOF_Score,AE_MSE_Error,HRF_IsOutsideBusinessHours,HRF_IsWeekend,HRF_IsRareTCodeForUser,HRF_IsMissingCostCenter,HRF_IsHighUserDev,HRF_IsHighAcctDev,HRF_IsHighValue,HRF_IsLowValue,blart,tcode,usnam_bkpf,racct,hsl,budat_bkpf
USA1,5000000025,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,15-01-2019
USA1,5000000027,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,20-01-2019
USA1,5000000028,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,20-01-2019
USA1,5000000024,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,15-01-2019
EU01,5000000005,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0252,-1918602268,0.9872,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-400,10-02-2022
USA1,5000000004,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting; Off-Hours Posting; Rare User/TCode Combo. | Process context: TCode=MIGO_GR, User=DEMANDI, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0234,-4022745152,0.977,1,1,1,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,DEMANDI,191100,-200,27-01-2022
USA1,5000000000,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Rare User/TCode Combo. | Process context: TCode=MIGO_GR, User=PKADARI, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0224,-4498656608,0.9463,0,0,1,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,PKADARI,191100,-100,17-01-2022
EU01,5000000008,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=GAIKWADPAWAR, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0159,-3990722188,0.936,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,GAIKWADPAWAR,191100,-1000,11-02-2022
USA1,5000000011,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0253,-6357224233,0.8959,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-100,10-02-2022
USA1,5000000015,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0253,-6357224233,0.8959,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-100,10-02-2022
USA1,5000000013,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0253,-6357224233,0.8959,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-100,10-02-2022
USA1,5000000014,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0253,-6357224233,0.8959,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-100,10-02-2022
USA1,5000000016,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0253,-6357224233,0.8959,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-100,10-02-2022
USA1,5000000021,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.03,-7595547894,0.8691,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-60,08-02-2022
USA1,5000000004,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting; Off-Hours Posting; Rare User/TCode Combo. | Process context: TCode=MIGO_GR, User=DEMANDI, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0208,-4120950700,0.8544,1,1,1,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,DEMANDI,300000,200,27-01-2022
USA1,5000000028,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,20-01-2019
USA1,5000000024,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,15-01-2019
USA1,5000000023,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,15-01-2019
USA1,5000000027,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,20-01-2019
USA1,5000000026,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,20-01-2019
USA1,5000000025,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.021,-2084200502,0.8528,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,500,15-01-2019
USA1,5000000022,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0291,-7696944331,0.8504,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-40,09-02-2022
EU01,5000000005,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0198,-1918602268,0.8452,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,400,10-02-2022
USA1,5000000018,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0298,-6349017127,0.8041,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-10,10-02-2022
USA1,5000000011,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0243,-6661792762,0.7864,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,100,10-02-2022
USA1,5000000014,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0243,-6661792762,0.7864,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,100,10-02-2022
USA1,5000000015,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0243,-6661792762,0.7864,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,100,10-02-2022
USA1,5000000013,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0243,-6661792762,0.7864,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,100,10-02-2022
USA1,5000000016,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0243,-6661792762,0.7864,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,100,10-02-2022
USA1,5000000021,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0306,-8074928411,0.7652,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,60,08-02-2022
USA1,5000000022,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0292,-8271460169,0.7496,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,40,09-02-2022
USA1,5000000000,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Rare User/TCode Combo. | Process context: TCode=MIGO_GR, User=PKADARI, Account=792000, DocType=WE.",1,3,-1,-1,-1,-0.0182,-15099101416,0.7496,0,0,1,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,PKADARI,792000,10,17-01-2022
USA1,5000000018,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0295,-6446065815,0.7126,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,300000,10,10-02-2022
USA1,5000000769,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting; Rare User/TCode Combo. | Process context: TCode=MB01, User=MALVIYAH, Account=792000, DocType=WE.",1,3,-1,-1,-1,-0.012,-3.8346,0.6557,1,0,1,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,MALVIYAH,792000,20,23-02-2022
USA1,1500000000,2022,3,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Rare User/TCode Combo. | Process context: TCode=FBZ2, User=GRAMANJINEYU, Account=230000, DocType=KZ.",1,3,-1,-1,-1,-0.0079,-6.173,0.5635,0,0,1,0,FALSE,FALSE,FALSE,FALSE,KZ,FBZ2,GRAMANJINEYU,230000,,25-01-2022
USA1,5000000770,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Rare User/TCode Combo. | Process context: TCode=MB01, User=SUMITSAXENA, Account=792000, DocType=WE.",1,3,-1,-1,-1,-0.015,-3046971380,0.5404,0,0,1,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,SUMITSAXENA,792000,20,15-02-2022
EU01,4900000008,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=VL09, User=MALVIYAH, Account=191100, DocType=WL.",1,3,-1,-1,-1,-0.0107,-3.8272,0.469,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WL,VL09,MALVIYAH,191100,880,25-01-2022
USA1,5000000777,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MB01, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0039,-4921561434,0.4282,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WE,MB01,VISHAKHA,191100,-1950,21-02-2022
C003,4900000000,2022,25,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GI, User=PRATIM, Account=134000, DocType=WA.",1,3,-1,-1,-1,-0.0166,-4.0502,0.4254,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WA,MIGO_GI,PRATIM,134000,224400,24-01-2022
USA1,5000000776,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MB01, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0038,-3598335417,0.4232,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,191100,-1000,20-02-2022
USA1,5000000304,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MB01, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0054,-2527108847,0.4183,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,191100,-500,25-03-2019
USA1,5000000305,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MB01, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0054,-2527108847,0.4183,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,191100,-500,25-03-2019
USA1,5000000304,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MB01, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0004,-2527108847,0.4173,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,300000,500,25-03-2019
USA1,5000000305,2019,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MB01, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0004,-2527108847,0.4173,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,300000,500,25-03-2019
C001,90000269,2022,3,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High User Deviation; High Account Deviation. | Process context: TCode=VF01, User=ARAMPRAKASH, Account=440020, DocType=RV.",1,3,-1,-1,-1,-0.018,-3.5677,0.4142,0,0,0,0,TRUE,TRUE,FALSE,FALSE,RV,VF01,ARAMPRAKASH,440020,325000,15-03-2022
C005,4900000000,2022,23,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=134000, DocType=WA.",1,3,-1,-1,-1,-0.0156,-3.5855,0.4046,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WA,MIGO_GI,PRATIM,134000,172125,31-01-2022
USA1,5000000775,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MB01, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.0104,-1918246541,0.3937,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,191100,-10,28-02-2022
USA1,5000000775,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MB01, User=VISHAKHA, Account=300000, DocType=WE.",1,3,-1,-1,-1,-0.0061,-1908755740,0.3929,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MB01,VISHAKHA,300000,10,28-02-2022
C002,4900000014,2022,2,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0105,-16.9817,0.3687,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-50000,10-02-2022
C004,4900000000,2022,28,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0105,-13.2722,0.3687,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-53190,26-01-2022
C005,4900000000,2022,26,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0129,-12.2429,0.3686,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-57375,31-01-2022
C004,4900000000,2022,32,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0129,-12.2458,0.3686,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-58510,26-01-2022
C005,4900000000,2022,30,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0129,-12.2643,0.3686,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-63115,31-01-2022
C003,4900000000,2022,28,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0109,-14.7003,0.3685,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-74800,24-01-2022
C004,4900000000,2022,30,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0114,-14.7653,0.3685,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-79785,26-01-2022
C003,4900000000,2022,32,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0114,-14.8,0.3685,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-82280,24-01-2022
C005,4900000000,2022,28,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0119,-14.855,0.3685,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-86065,31-01-2022
C004,4900000000,2022,24,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.017,-16.4468,0.3684,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-106385,26-01-2022
C003,4900000000,2022,30,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0209,-16.5597,0.3684,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-112200,24-01-2022
C003,4900000000,2022,24,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0204,-15.9721,0.3683,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-149600,24-01-2022
C004,4900000000,2022,26,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: Off-Hours Posting. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.0204,-17.4897,0.3683,1,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-159575,26-01-2022
C003,4900000000,2022,26,"Flagged by ALL models (IF, LOF, AE). | Flagged by model(s) but no specific high-risk feature threshold met. | Process context: TCode=MIGO_GI, User=PRATIM, Account=399140, DocType=WA.",1,3,-1,-1,-1,-0.026,-18.5589,0.3683,0,0,0,0,FALSE,FALSE,FALSE,FALSE,WA,MIGO_GI,PRATIM,399140,-224400,24-01-2022
